employee_id,fullname,area,position,department,division,directorate,grade,education,major,years_of_service_months,CEX,CSI,FTC,GDR,IDS,LIE,QDD,SEA,STO,VCU,rating_2025,iq,mbti,pauli,faxtor,disc,qtq,tiki,Papi_A,Papi_B,Papi_C,Papi_D,Papi_E,Papi_F,Papi_G,Papi_I,Papi_K,Papi_L,Papi_N,Papi_O,Papi_P,Papi_R,Papi_S,Papi_T,Papi_V,Papi_W,Papi_X,Papi_Z,strength_1,strength_2,strength_3,strength_4,strength_5,tenure_years,competency_mean,cognitive_index,is_top_performer,strength_count,grade_num,strength_match_score,success_score
EMP100382,Utami Erlangga Tamba,Store,Sales Supervisor,Marketing,Sales,HR & Corp Affairs,IV,S1,Engineering,65,0.03030303,0.030612245,4,4,0.03030303,4,3,0.03030303,3,0.03030303,3,,ESTP,50,96,DS,,1,3,2,5,6,9,4,3,0.25,1,,4,,0.5,4,3,9,1,0.25,6,2,Harmony,Ideation,Input,Communication,Deliberative,0.436241611,3.4,0.562571757,0,5,0.5,0,14.53667206
EMP100383,Eko Mahendra,Distribution,Sales Supervisor,Finance,Digital Marketing,Technology,III,S2,Engineering,66,0.01010101,0,,1,0.02020202,1,1,0.01010101,1,0.01010101,,98,ESTJ,39,100,SC,19,2,8,8,6,6,2,5,9,0.5,1,4,9,4,0,6,6,7,6,0.75,1,6,Learner,Discipline,Empathy,Individualization,Futuristic,0.44295302,1.111111111,0.607347876,0,5,0,1,27.6746075
EMP100384,Dimas Saputra Utami,Store,Brand Executive,Operations,Product Dev,HR & Corp Affairs,III,SMA,Psychology,98,0.03030303,,3,3,0.02020202,3,4,0.04040404,3,0.04040404,3,122,ENFP,26,44,,24,1,3,4,7,5,8,,,0.75,6,6,1,5,0.75,4,,6,6,0.75,7,3,Harmony,Includer,Analytical,Connectedness,Adaptability,0.657718121,3.222222222,0.466130884,0,5,0,0,
EMP100385,Hana Ananda,HQ,HRBP,Finance,Talent Management,HR & Corp Affairs,V,SMA,Psychology,44,0.01010101,0.010204082,1,2,0.03030303,2,,0.01010101,2,0.02020202,2,113,ISFP,86,22,CI,18,2,3,2,9,6,1,4,4,0.625,,7,5,5,0.125,2,,9,3,0.625,3,5,Consistency,Learner,Ideation,,Positivity,0.295302013,1.777777778,0.548794489,0,4,1,0,15.15467347
EMP100386,Tania Santoso,Plant,Finance Officer,R&D,Sales,HR & Corp Affairs,V,S1,Psychology,76,,0.030612245,4,4,0.03030303,4,4,,4,0.03030303,4,140,ISFJ,64,88,SC,34,6,3,6,7,1,,1,9,0.25,8,9,5,9,0.875,3,1,5,8,0.375,8,4,Arranger,Intellection,Deliberative,Competition,Adaptability,0.510067114,3.75,0.862227325,0,5,1,1,
EMP100387,Ari Tri Hartanto,Plant,Supply Planner,Operations,Product Dev,HR & Corp Affairs,V,S2,Engineering,50,0.03030303,0.030612245,3,3,0.02020202,3,,0.03030303,2,0.03030303,3,,ENFJ,59,29,,27,5,9,,2,4,7,2,6,0.125,1,6,9,5,0.875,2,8,8,6,0.625,6,,,Consistency,Intellection,Futuristic,Maximizer,0.33557047,2.888888889,0.235361653,0,4,1,2,44.36980118
EMP100388,Rani Qolbi Zulfikar,Store,Brand Executive,Finance,Digital Marketing,Technology,III,S2,Business,33,0.03030303,0.010204082,3,2,0.03030303,3,4,0.02020202,,0.02020202,3,140,ISFP,22,51,SD,27,2,8,6,6,4,4,5,1,0.125,4,6,,6,0.125,1,3,3,9,0.625,9,4,Strategic,,Competition,Deliberative,Individualization,0.22147651,2.666666667,0.552238806,0,4,0,0,10.71392852
EMP100389,Fajar Pratama,Plant,Sales Supervisor,IT,Digital Marketing,HR & Corp Affairs,V,SMA,Statistics,74,,0.020408163,3,4,0.03030303,3,3,0.03030303,3,0.03030303,3,,INTP,83,30,SI,43,2,2,9,9,9,3,4,7,1,,1,7,2,0.75,4,1,8,4,0.125,,8,Significance,Individualization,Responsibility,Communication,Intellection,0.496644295,3.111111111,0.398966705,0,5,1,1,
EMP100390,Bayu Tri Simanjuntak,Plant,Brand Executive,Finance,Product Dev,Technology,III,S1,Engineering,35,0.02020202,0.010204082,3,3,0.02020202,1,3,0.01010101,3,,2,125,ENFJ,38,37,DC,31,4,3,7,6,1,5,9,4,0.75,5,3,2,2,0.375,4,,5,7,0.125,6,3,Woo,Competition,Positivity,,Empathy,0.234899329,2.222222222,0.528128588,0,4,0,0,
EMP100391,Rizka Adi Anggara,Store,Finance Officer,IT,Product Dev,Technology,V,S1,Psychology,51,0.02020202,0,3,2,0.03030303,2,2,0.02020202,3,,2,131,INFJ,80,85,IS,38,9,8,1,9,3,6,6,4,1,4,2,8,3,0,1,4,4,1,0.625,2,6,Context,Arranger,Self-Assurance,Responsibility,,0.342281879,2.222222222,0.900114811,0,4,1,1,
EMP100392,Tania Herlambang,Plant,Supply Planner,HR,Product Dev,Technology,III,D3,Statistics,20,0.03030303,0.020408163,4,2,0.03030303,3,3,,3,0.02020202,3,110,,94,57,SI,18,7,2,9,3,8,5,7,7,0.25,6,3,7,5,0.5,8,7,2,,1,2,4,Intellection,Competition,Individualization,Woo,Harmony,0.134228188,2.888888889,0.703788749,0,5,0,1,
EMP100393,Oktavia Ramadhan,HQ,Data Analyst,IT,Operations,Commercial,V,D3,Business,61,0.03030303,0.010204082,3,3,0.02020202,2,2,0.03030303,2,0.03030303,2,120,ESFJ,26,92,ID,28,10,3,5,5,6,8,2,3,0.125,5,4,4,5,0.625,1,8,6,5,0.25,2,,Command,Empathy,Communication,Woo,Self-Assurance,0.409395973,2.5,0.66934558,0,5,1,1,31.79050266
EMP100394,Hadi Jatmiko Kurniawan,Distribution,HRBP,Operations,Talent Management,Technology,III,S2,Economics,44,0.01010101,0,1,1,0.01010101,2,2,0.01010101,1,0.01010101,1,131,ISTP,61,85,CD,27,4,9,6,9,3,9,3,1,0,6,,9,2,0.375,5,2,3,1,0.125,3,3,Arranger,Analytical,Learner,Includer,Developer,0.295302013,1.2,0.77956372,0,5,0,0,11.64209676
EMP100395,Joko Nabila Santoso,Plant,Brand Executive,HR,Digital Marketing,Commercial,V,SMA,Engineering,54,0.01010101,0,1,1,0.02020202,1,1,,1,0.01010101,1,139,ESFJ,60,72,SC,35,1,9,8,9,4,2,2,9,0,3,5,6,8,0.125,1,5,7,2,0.625,9,6,Futuristic,Belief,Context,Maximizer,Deliberative,0.362416107,1.111111111,0.776119403,0,5,1,1,
EMP100396,Zaki Anugrah Nugroho,Distribution,Supply Planner,IT,Product Dev,HR & Corp Affairs,V,SMA,Statistics,36,0.03030303,0.020408163,3,3,0.03030303,2,3,0.03030303,3,0.02020202,3,138,ESTJ,88,23,DC,32,1,4,9,4,2,8,6,6,0.625,9,4,1,8,0.5,7,4,6,3,0.75,5,1,Command,Individualization,Maximizer,Significance,Adaptability,0.241610738,2.8,0.690011481,0,5,1,0,18.80047421
EMP100397,Yuni Iqbal Putra,Plant,Sales Supervisor,Operations,Operations,Commercial,IV,D3,Psychology,90,0.02020202,0.010204082,2,2,0.02020202,2,3,0.03030303,3,,2,,ISTP,67,44,DI,16,7,5,6,4,1,4,2,2,0.125,6,1,7,2,1,2,9,9,7,0.75,1,4,,Futuristic,Restorative,Adaptability,Positivity,0.604026846,2.333333333,0.295637199,0,4,0.5,2,
EMP100398,Joko Wijaya Wijaya,Plant,Data Analyst,IT,Sales,Commercial,V,S1,Psychology,94,0.03030303,0.010204082,4,2,0.03030303,,3,0.03030303,2,0.03030303,3,138,ESFP,51,50,ID,20,1,8,4,5,5,9,7,4,0.875,3,1,,7,1,6,3,,,0.25,6,6,Belief,Achiever,Empathy,Consistency,Harmony,0.630872483,2.777777778,0.61423651,0,5,1,0,21.23820865
EMP100399,Zaki Ramadhan,Plant,Sales Supervisor,Operations,Digital Marketing,HR & Corp Affairs,V,S2,Economics,56,0.02020202,,3,3,0.03030303,3,3,0.03030303,4,0.04040404,,128,ISTJ,89,43,,24,3,8,9,6,6,6,8,3,0.75,3,1,7,,1,9,9,3,5,0.875,8,3,Futuristic,Input,Self-Assurance,,Focus,0.375838926,3.111111111,0.707233065,0,4,1,2,
EMP100400,Luthfi Herlambang,Distribution,HRBP,IT,Operations,HR & Corp Affairs,V,S2,Design,53,0.050505051,0.030612245,5,5,0.04040404,5,5,0.050505051,5,0.050505051,,96,ENFP,96,80,ID,23,9,,6,6,8,6,8,3,0.375,5,7,7,3,0.125,2,3,2,6,0.75,2,9,Ideation,Maximizer,Self-Assurance,Futuristic,Relator,0.355704698,4.8,0.765786452,0,5,1,2,48.88961931
EMP100401,Dwi Wijaya Halim,HQ,Brand Executive,Marketing,Operations,Commercial,III,S2,Statistics,74,0.04040404,0.030612245,5,5,0.050505051,5,5,0.050505051,,0.050505051,5,,ISFP,78,22,DC,,4,6,6,8,5,1,9,2,0.625,7,9,4,1,0.75,4,5,3,1,,1,4,Arranger,Empathy,Relator,Ideation,Intellection,0.496644295,4.777777778,0.315729047,1,5,0,1,
EMP100402,Fajar Candra Maulida,Plant,Supply Planner,IT,Product Dev,Technology,III,D3,Psychology,91,0.01010101,0.020408163,2,3,0.02020202,2,2,0.02020202,2,0.02020202,2,83,INFP,90,94,ID,33,5,5,9,5,3,9,6,4,0.25,5,2,5,5,1,5,9,6,6,0.375,5,9,Individualization,Adaptability,Includer,Strategic,Learner,0.610738255,2.1,0.769230769,0,5,0,0,17.65295114
EMP100403,Prasetyo Lestari,HQ,Data Analyst,Finance,Operations,Commercial,III,SMA,Design,46,0.03030303,0.030612245,2,2,0.03030303,3,4,0.02020202,3,0.02020202,3,104,ENFJ,44,85,IC,32,2,3,7,5,4,1,8,8,0.875,7,6,2,6,0.125,8,,3,3,0.375,3,3,Intellection,Activator,Adaptability,Deliberative,Woo,0.308724832,2.8,0.638346728,0,5,0,2,43.67451465
EMP100404,Anisa Tri Anggara,Plant,HRBP,IT,Talent Management,Technology,IV,S1,Psychology,25,0.04040404,0.020408163,3,,0.03030303,4,3,0.04040404,4,0.04040404,3,94,ESFJ,93,54,ID,21,2,4,2,1,3,4,2,5,0.125,4,6,,1,0.625,9,5,9,8,0.125,8,2,Includer,Maximizer,Communication,Positivity,Developer,0.167785235,3.555555556,0.628013777,0,5,0.5,0,13.87071309
EMP100405,Teguh Erlangga Setiawan,Store,Brand Executive,IT,Talent Management,Commercial,III,SMA,Engineering,55,0.03030303,0.020408163,2,3,0.03030303,4,2,0.03030303,3,0.03030303,3,127,ISTP,49,63,,34,4,8,5,4,3,7,6,,,9,3,6,3,0.125,4,1,1,7,0.375,7,4,Adaptability,Connectedness,,Consistency,Analytical,0.369127517,2.9,0.672789897,0,4,0,0,
EMP100406,Vania Lestari Subekti,HQ,HRBP,IT,Sales,HR & Corp Affairs,III,D3,Psychology,25,0.03030303,0.010204082,3,2,1,2,2,0.02020202,2,0.02020202,,85,INTP,71,97,DC,25,6,1,,5,7,3,8,7,0,8,8,2,8,0.625,8,4,3,8,0.625,1,3,Achiever,Arranger,Activator,Woo,Belief,0.167785235,11.9,0.696900115,0,5,0,1,42.0928428
EMP100407,Arif Rachman Suharto,HQ,Brand Executive,IT,Product Dev,Commercial,III,SMA,Economics,94,0.03030303,0.030612245,2,2,0.03030303,3,2,0.03030303,2,0.03030303,3,116,ESTJ,68,83,DC,19,7,3,,3,1,1,7,6,,1,4,4,6,0.375,4,1,5,1,0.5,8,1,Adaptability,Woo,Activator,Command,Harmony,0.630872483,2.7,0.727898967,0,5,0,1,
EMP100408,Rafa Anugrah Kusuma,Plant,Finance Officer,IT,Digital Marketing,Technology,III,S1,Design,26,,0.020408163,,1,0.02020202,3,2,0.03030303,1,0.02020202,2,80,ESFP,30,45,CD,26,4,5,7,4,8,9,9,7,0.625,9,9,3,4,0.75,1,9,6,2,0.25,5,5,Focus,Empathy,Positivity,Activator,Adaptability,0.174496644,2.125,0.355912744,0,5,0,1,
EMP100409,Rani Ginting,HQ,HRBP,HR,Product Dev,Technology,IV,S1,Engineering,24,0.04040404,0.030612245,4,4,0.04040404,4,4,0.04040404,4,0.04040404,4,125,ISFJ,62,64,SD,24,10,6,1,2,5,1,4,5,0.875,7,9,6,5,0.75,1,4,9,,1,8,2,Learner,Woo,Positivity,,Command,0.161073826,4,0.700344432,0,4,0.5,0,20.15850938
EMP100410,Adit Saputra Wijaya,Distribution,HRBP,Finance,Operations,Technology,III,D3,Engineering,64,0.04040404,0.020408163,4,4,0.03030303,5,4,0.04040404,3,,4,,ISTJ,28,40,DS,28,10,5,7,4,5,4,4,4,1,7,7,9,8,0.625,2,8,3,6,0,2,2,Discipline,Ideation,Intellection,Restorative,,0.429530201,3.777777778,0.175086108,0,4,0,2,
EMP100411,Rani Fauziah,HQ,Finance Officer,R&D,Product Dev,Technology,III,SMA,Business,29,0.02020202,0.010204082,1,3,0.02020202,3,1,0.02020202,2,0.03030303,2,115,INTP,57,87,SC,30,6,2,,7,,3,1,3,0.125,8,4,3,5,0.75,5,5,5,1,,6,7,Strategic,Woo,Maximizer,Connectedness,,0.194630872,2.1,0.7347876,0,4,0,0,
EMP100412,Tania Syahputra,Store,Brand Executive,Operations,Sales,Commercial,IV,S1,Engineering,26,0.04040404,0.030612245,4,4,,4,4,0.04040404,3,0.050505051,4,130,ENFJ,58,50,DS,36,8,1,1,9,8,1,5,8,0.625,7,1,3,,0.125,2,3,9,2,0.625,9,8,Futuristic,Consistency,Intellection,Harmony,Communication,0.174496644,4,0.690011481,0,5,0.5,2,
EMP100413,Zahra Utama Pratomo,Distribution,Finance Officer,R&D,Talent Management,HR & Corp Affairs,III,D3,Statistics,46,0.03030303,,3,3,0.02020202,3,4,0.03030303,4,,3,86,ISTP,23,87,,31,6,,,4,6,1,4,6,1,7,,8,2,0.375,6,8,7,5,1,5,5,Significance,Consistency,Belief,Relator,Activator,0.308724832,3.125,0.521239954,0,5,0,1,
EMP100414,Citra Hasibuan,HQ,HRBP,R&D,Sales,HR & Corp Affairs,V,S2,Engineering,70,0.01010101,0.010204082,1,1,0.02020202,1,2,0.01010101,1,0.01010101,1,104,ESFP,58,99,DC,26,10,9,1,2,3,6,1,7,1,,4,8,5,0.125,7,9,,8,0.625,9,4,Strategic,Command,Positivity,Adaptability,Empathy,0.469798658,1.3,0.741676234,0,5,1,0,18.85875192
EMP100415,Hadi Lukman,Distribution,Data Analyst,HR,Operations,HR & Corp Affairs,III,D3,Engineering,38,0.02020202,0.020408163,4,3,0.03030303,3,,0.03030303,3,,3,86,ENTJ,86,96,DS,19,8,7,6,2,6,8,1,7,0.25,,4,,3,0,7,2,6,2,0.125,9,8,Ideation,Strategic,Developer,Communication,Consistency,0.255033557,3,0.7347876,0,5,0,0,
EMP100416,Cahyo Ganesha Handayani,Plant,Data Analyst,R&D,Sales,Commercial,V,S2,Engineering,38,0.03030303,0.030612245,4,3,0.03030303,4,3,0.04040404,3,0.03030303,3,139,ESFJ,45,94,CS,24,2,2,3,9,1,6,7,9,0.625,1,7,,8,0.375,5,9,5,3,0.75,2,7,Relator,Adaptability,Competition,Learner,Activator,0.255033557,3.4,0.765786452,0,5,1,1,34.4392939
EMP100417,Adi Situmorang,Distribution,Brand Executive,Marketing,Digital Marketing,Commercial,III,SMA,Economics,32,0.03030303,0.010204082,3,3,0.03030303,2,3,0.03030303,2,0.03030303,3,,INTJ,73,24,DI,,1,1,6,9,4,1,9,5,0,2,4,5,6,0.25,4,,9,,0.5,7,9,,Discipline,Context,Communication,Activator,0.214765101,2.7,0.281285878,0,4,0,1,22.95316542
EMP100418,Oktavia Ganesha Fauziah,Store,HRBP,Marketing,Sales,HR & Corp Affairs,IV,SMA,Engineering,29,0.03030303,0.020408163,3,3,0.04040404,,4,0.03030303,4,0.04040404,5,,ISFP,79,97,IS,,9,8,8,8,6,1,8,8,0.375,6,4,9,,0.625,7,2,5,8,0.375,3,5,Woo,Harmony,Belief,Focus,Adaptability,0.194630872,3.444444444,0.780711825,1,5,0.5,0,16.90060863
EMP100419,Lestari Hidayat,Distribution,Brand Executive,Marketing,Digital Marketing,HR & Corp Affairs,IV,S1,Psychology,49,0.03030303,0.030612245,3,3,,3,4,0.03030303,3,0.04040404,3,,ISFJ,73,87,DC,,7,4,4,2,6,8,6,9,0.25,3,9,7,2,0.25,1,4,7,1,0.75,9,1,Positivity,Adaptability,Woo,Analytical,Input,0.32885906,3.333333333,0.677382319,0,5,0.5,0,
EMP100420,Vania Hartanto,Store,Data Analyst,HR,Sales,Commercial,IV,S2,Economics,81,0.03030303,0.020408163,1,3,0.02020202,3,,,2,0.03030303,2,80,,82,98,SD,29,7,4,2,5,7,6,1,6,0.25,8,7,7,6,0.125,3,5,9,7,0.5,3,6,Adaptability,Restorative,Futuristic,Consistency,,0.543624161,2.5,0.738231917,0,4,0.5,2,
EMP100421,Adit Anggara,HQ,Data Analyst,HR,Operations,HR & Corp Affairs,III,S1,Design,51,0.03030303,0.030612245,3,3,0.03030303,3,2,0.03030303,2,0.02020202,3,85,INTJ,88,60,CI,22,1,9,,3,6,8,9,9,0.5,5,5,2,7,0.875,4,3,3,2,0.875,4,3,Empathy,Intellection,Competition,Command,Developer,0.342281879,2.8,0.600459242,0,5,0,1,31.98994018
EMP100422,Ari Handayani,HQ,Brand Executive,R&D,Talent Management,Technology,III,D3,Statistics,54,0.01010101,0,1,1,0.01010101,1,1,0.02020202,1,0.02020202,1,103,,22,83,IC,28,8,1,2,6,1,1,3,2,0.25,5,8,4,3,0.375,7,5,5,1,1,4,9,Significance,Deliberative,Individualization,Consistency,Strategic,0.362416107,1.2,0.55912744,0,5,0,0,13.38062766
EMP100423,Valdo Fauziah,Plant,Brand Executive,Marketing,Digital Marketing,Commercial,III,S1,Statistics,83,0.04040404,0.030612245,4,4,0.050505051,4,5,0.050505051,5,0.04040404,4,,ENFJ,20,42,,,8,,,2,5,6,4,3,1,,5,2,1,1,3,2,1,5,1,1,6,,Relator,Adaptability,Developer,Intellection,0.55704698,4.4,0.120551091,0,4,0,1,31.50837104
EMP100424,Valdo Ramadhan,Store,Sales Supervisor,Operations,Product Dev,Commercial,IV,D3,Statistics,23,,0.030612245,,,0.03030303,3,2,0.04040404,4,0.03030303,3,94,ISFJ,91,81,DI,29,8,5,2,9,6,3,9,8,1,5,,8,,0.125,9,1,8,8,0,8,5,Learner,Achiever,Analytical,,Woo,0.154362416,3.285714286,0.762342135,0,4,0.5,0,
EMP100425,Novi Baskara Sinaga,Distribution,Data Analyst,Finance,Product Dev,Technology,IV,SMA,Statistics,53,0.01010101,0.010204082,1,1,0.02020202,1,1,0.01010101,1,0.01010101,1,83,ISFJ,40,46,DC,28,8,8,2,8,2,1,7,,0.5,8,8,3,5,0.5,8,,5,,0.25,4,2,,Positivity,Maximizer,Responsibility,Context,0.355704698,1.2,0.424799082,0,4,0.5,0,12.49451059
EMP100426,Dimas Pamungkas,HQ,Brand Executive,Marketing,Digital Marketing,Technology,III,S1,Psychology,50,0.050505051,0.040816327,5,4,0.050505051,4,5,0.050505051,5,0.050505051,5,,ENTJ,64,64,DI,,2,5,7,6,6,9,2,9,,8,8,8,9,0.875,9,8,2,4,0.875,7,8,Consistency,Includer,Communication,,Activator,0.33557047,4.8,0.464982778,1,4,0,1,
EMP100427,Dimas Adi Mahendra,HQ,HRBP,Operations,Product Dev,Commercial,IV,S2,Business,42,0.03030303,0.020408163,2,3,0.03030303,3,,0.03030303,,0.03030303,3,,ENFJ,69,21,ID,32,7,7,7,1,1,2,5,6,0.375,1,7,,6,0.75,9,4,5,6,0.875,8,3,Communication,Intellection,,Self-Assurance,,0.281879195,2.875,0.274110218,0,3,0.5,2,44.04861195
EMP100428,Umar Pamungkas,Store,Sales Supervisor,Marketing,Product Dev,HR & Corp Affairs,III,S2,Design,61,0.050505051,0.040816327,5,5,0.050505051,5,5,0.050505051,,0.050505051,5,,ESFP,20,74,DC,,9,4,5,7,2,8,9,6,0.875,7,7,7,4,0.5,6,9,6,,0.375,5,4,Belief,Individualization,Intellection,Significance,,0.409395973,5,0.309988519,1,4,0,1,28.69814314
EMP100429,Gita Candra Situmorang,Distribution,Finance Officer,IT,Sales,Technology,III,SMA,Statistics,31,0.02020202,0.030612245,3,3,0.03030303,3,,,3,0.03030303,,132,INTP,59,95,SD,28,8,,5,1,7,5,5,,0.375,2,4,8,2,0.875,7,3,3,6,0.5,6,8,Includer,Responsibility,Discipline,Intellection,Restorative,0.208053691,3,0.827784156,0,5,0,2,
EMP100430,Valdo Nabila Rohman,Distribution,Sales Supervisor,IT,Sales,HR & Corp Affairs,III,D3,Engineering,39,0.01010101,0,1,1,0.01010101,1,1,0.01010101,1,0.01010101,1,97,,93,30,CI,25,5,,1,,6,3,1,3,0.5,6,9,2,3,1,6,6,,3,0,6,2,Belief,Achiever,Activator,Futuristic,Consistency,0.261744966,1,0.579793341,0,5,0,2,43.10160774
EMP100431,Novi Wijaya Putra,Plant,Finance Officer,Operations,Talent Management,Commercial,IV,SMA,Statistics,119,0,,4,,0.04040404,4,4,0.04040404,5,0.03030303,4,140,,68,63,DI,24,4,9,5,2,,1,9,3,0.25,7,9,4,6,0.875,2,1,2,3,0.625,7,7,Consistency,Competition,Activator,Adaptability,Context,0.798657718,3.5,0.748564868,0,5,0.5,1,
EMP100432,Rani Fadillah Rahmawati,HQ,Finance Officer,Marketing,Digital Marketing,Technology,IV,D3,Statistics,94,0.03030303,0.020408163,4,3,0.04040404,3,2,0.04040404,3,0.02020202,3,,ESTP,73,20,DI,,10,2,5,7,7,4,5,7,1,,2,5,,0.125,1,7,,8,0.75,9,9,Connectedness,Intellection,Woo,Adaptability,Responsibility,0.630872483,3.1,0.309988519,0,5,0.5,1,30.36448261
EMP100433,Dian Ridwan,Distribution,Finance Officer,Operations,Sales,Technology,IV,D3,Statistics,9,0.03030303,0.010204082,3,,0.02020202,2,1,0.02020202,2,0.03030303,2,91,,63,41,DC,28,10,9,6,3,3,9,8,4,0.75,,2,4,2,0.375,6,6,2,2,0,2,3,Belief,Arranger,,Maximizer,Discipline,0.060402685,2.222222222,0.521239954,0,4,0.5,0,12.03796481
EMP100434,Hadi Wibowo,Store,Finance Officer,HR,Talent Management,Commercial,V,S2,Psychology,59,0.04040404,0.030612245,4,5,0.04040404,4,5,0.04040404,5,0.04040404,,137,INFP,46,70,CD,33,7,5,,6,8,7,,6,0,,1,1,3,0.875,6,6,8,7,0.125,1,1,Responsibility,Arranger,Activator,Maximizer,Woo,0.395973154,4.3,0.727898967,0,5,1,1,33.35855138
EMP100435,Intan Syahputra,Plant,Sales Supervisor,Operations,Digital Marketing,Commercial,III,S2,Statistics,34,0.01010101,0.020408163,2,2,0.03030303,2,2,0.02020202,2,0.02020202,2,121,INFJ,64,20,SD,21,5,8,4,1,6,5,9,5,0.25,3,1,5,6,0.5,,,6,5,0.75,3,8,Strategic,Woo,Intellection,Empathy,,0.228187919,2.1,0.51435132,0,4,0,1,27.45781912
EMP100436,Zahra Wijaya,Distribution,HRBP,R&D,Digital Marketing,Technology,IV,D3,Design,94,0.03030303,0.020408163,4,3,0.03030303,,,0.04040404,3,0.03030303,3,97,,75,67,ID,21,3,8,2,6,,8,2,5,1,9,8,5,5,1,1,1,,4,0.75,8,5,Connectedness,Analytical,Woo,Input,Intellection,0.630872483,3.25,0.62456946,0,5,0.5,1,36.94968596
EMP100437,Indra Hartanto,Store,Supply Planner,Marketing,Digital Marketing,Technology,III,S1,Psychology,86,0.04040404,0.020408163,4,5,0.050505051,4,4,0.04040404,4,0.04040404,4,,ISTP,76,91,,,10,4,7,6,7,7,7,9,0.25,7,5,9,3,0.375,6,3,1,9,1,7,6,Achiever,Connectedness,Communication,Harmony,Responsibility,0.577181208,4.1,0.7347876,0,5,0,0,17.76825947
EMP100438,Bayu Yudhistira Santoso,Store,Finance Officer,IT,Talent Management,Technology,V,D3,Psychology,50,0.03030303,0.010204082,2,3,0.03030303,3,4,0.04040404,3,0.04040404,3,90,ESFJ,60,65,ID,38,7,7,9,1,9,7,3,,0.125,1,4,,,0.375,2,9,,9,0,6,4,Developer,Arranger,Self-Assurance,Futuristic,Learner,0.33557047,3.1,0.61423651,0,5,1,2,44.49402182
EMP100439,Intan Tamba,Distribution,Sales Supervisor,Finance,Operations,HR & Corp Affairs,V,S1,Statistics,54,0.03030303,0,1,2,0.01010101,2,2,0.01010101,2,0.02020202,2,83,ESFJ,29,88,IC,30,3,8,5,5,,1,4,3,0.125,8,6,5,2,0.5,3,5,4,7,0.125,1,6,Learner,Maximizer,Deliberative,Analytical,Includer,0.362416107,1.7,0.521239954,0,5,1,0,13.5926619
EMP100440,Cahyo Utama Sinaga,Plant,Supply Planner,R&D,Operations,HR & Corp Affairs,III,D3,Psychology,3,0.04040404,,4,4,0.04040404,4,4,0.050505051,4,0.04040404,4,119,ESFJ,53,75,SD,40,3,9,6,6,6,9,2,5,0.875,5,4,9,1,0.375,1,8,6,6,0.75,2,4,Includer,Achiever,Context,Activator,Focus,0.020134228,4.111111111,0.717566016,0,5,0,1,
EMP100441,Kartika Herlambang,Distribution,Brand Executive,R&D,Product Dev,Commercial,III,D3,Economics,24,0.04040404,0.030612245,4,4,0.04040404,4,5,0.050505051,4,0.04040404,4,118,INTP,91,84,SC,34,6,2,2,8,4,2,7,,0.625,,1,9,,,3,2,2,7,0.375,3,7,Belief,Restorative,Developer,Maximizer,Individualization,0.161073826,4.2,0.865671642,0,5,0,1,
EMP100442,Andi Qolbi Hidayat,Store,Finance Officer,Operations,Digital Marketing,HR & Corp Affairs,V,S1,Design,29,0.02020202,0.010204082,2,2,0.01010101,2,2,0.03030303,2,0.02020202,2,138,ENTJ,91,29,IC,35,7,4,4,4,,9,4,5,0.125,4,1,4,3,0.625,3,3,2,5,1,8,6,Discipline,Achiever,Positivity,Context,Arranger,0.194630872,2,0.752009185,0,5,1,0,18.44987886
EMP100443,Bayu Qolbi Hidayat,HQ,Sales Supervisor,Operations,Product Dev,Technology,V,S2,Psychology,49,,0.020408163,3,3,0.02020202,,3,0.03030303,4,0.04040404,3,117,ESFJ,45,79,CI,26,9,4,7,2,5,4,9,1,0.625,3,7,5,3,0.875,8,4,4,1,0.25,9,5,Consistency,Analytical,Self-Assurance,Harmony,Includer,0.32885906,3.125,0.66934558,0,5,1,1,
EMP100444,Dimas Purnama,Plant,Data Analyst,IT,Product Dev,Technology,V,D3,Psychology,80,0.04040404,,4,4,0.04040404,4,5,0.050505051,4,0.04040404,4,114,INFJ,50,50,DC,19,2,3,4,1,9,6,1,3,0.75,7,2,7,8,0.875,3,4,,9,0.5,9,6,Analytical,Futuristic,Adaptability,Intellection,Ideation,0.536912752,4.222222222,0.528128588,0,5,1,2,
EMP100445,Kurnia Wijaya,Plant,Sales Supervisor,R&D,Operations,Commercial,IV,S2,Statistics,31,0.02020202,0,1,1,0.01010101,,2,0.01010101,1,0.02020202,1,97,ENTJ,97,55,IS,18,3,9,8,1,7,1,9,1,0,5,6,2,4,0.75,,,7,1,0.625,9,8,Learner,Individualization,Ideation,Futuristic,Command,0.208053691,1.333333333,0.648679679,0,5,0.5,1,29.59903494
EMP100446,Rifqi Iqbal Ginting,Distribution,Data Analyst,Operations,Product Dev,Commercial,IV,SMA,Economics,75,0.02020202,0.020408163,3,3,0.03030303,3,3,0.03030303,2,0.02020202,3,112,ENTJ,93,77,IC,32,6,3,8,2,8,3,8,,,9,8,3,,0.875,5,8,5,3,0.5,7,3,Learner,Responsibility,Empathy,Competition,Communication,0.503355705,2.7,0.820895522,0,5,0.5,0,
